ID,TYPE,COLUMN,ROW,LIFESPAN,GREENHOUSE_ID
105,Lettuce,8,2,12,112
106,Lettuce,9,2,12,112
107,Lettuce,10,2,12,112
108,Lettuce,11,2,12,112
109,Lettuce,0,3,12,112
110,Lettuce,1,3,12,112
111,Lettuce,2,3,12,112
112,Lettuce,3,3,12,112
113,Lettuce,4,3,12,112
114,Lettuce,5,3,12,112
115,Lettuce,6,3,12,112
116,Lettuce,7,3,12,112
117,Lettuce,8,3,12,112
118,Lettuce,9,3,12,112
119,Lettuce,10,3,12,112
120,Lettuce,11,3,12,112
121,Lettuce,0,4,12,112
122,Lettuce,1,4,12,112
123,Lettuce,2,4,12,112
124,Lettuce,3,4,12,112
125,Lettuce,4,4,12,112
126,Lettuce,5,4,12,112
127,Lettuce,6,4,12,112
128,Lettuce,7,4,12,112
129,Lettuce,8,4,12,112
130,Lettuce,9,4,12,112
131,Lettuce,10,4,12,112
132,Lettuce,11,4,12,112
133,Lettuce,0,5,12,112
134,Lettuce,1,5,12,112
135,Lettuce,2,5,12,112
136,Lettuce,3,5,12,112
137,Lettuce,4,5,12,112
138,Lettuce,5,5,12,112
139,Lettuce,6,5,12,112
140,Lettuce,7,5,12,112
141,Lettuce,8,5,12,112
142,Lettuce,9,5,12,112
143,Lettuce,10,5,12,112
144,Lettuce,11,5,12,112
145,Lettuce,0,0,12,111
146,Lettuce,1,0,12,111
147,Lettuce,2,0,12,111
148,Lettuce,3,0,12,111
149,Lettuce,4,0,12,111
150,Lettuce,5,0,12,111
151,Lettuce,6,0,12,111
152,Lettuce,7,0,12,111
153,Lettuce,8,0,12,111
154,Lettuce,9,0,12,111
155,Lettuce,10,0,12,111
156,Lettuce,11,0,12,111
157,Lettuce,0,1,12,111
158,Lettuce,1,1,12,111
159,Lettuce,2,1,12,111
160,Lettuce,3,1,12,111
161,Lettuce,4,1,12,111
162,Lettuce,5,1,12,111
163,Lettuce,6,1,12,111
164,Lettuce,7,1,12,111
165,Lettuce,8,1,12,111
166,Lettuce,9,1,12,111
167,Lettuce,10,1,12,111
168,Lettuce,11,1,12,111
169,Lettuce,0,2,12,111
170,Lettuce,1,2,12,111
171,Lettuce,2,2,12,111
172,Lettuce,3,2,12,111
173,Lettuce,4,2,12,111
174,Lettuce,5,2,12,111
175,Lettuce,6,2,12,111
176,Lettuce,7,2,12,111
177,Lettuce,8,2,12,111
178,Lettuce,9,2,12,111
179,Lettuce,10,2,12,111
180,Lettuce,11,2,12,111
181,Lettuce,0,3,12,111
182,Lettuce,1,3,12,111
183,Lettuce,2,3,12,111
184,Lettuce,3,3,12,111
185,Lettuce,4,3,12,111
186,Lettuce,5,3,12,111
187,Lettuce,6,3,12,111
188,Lettuce,7,3,12,111
189,Lettuce,8,3,12,111
190,Lettuce,9,3,12,111
191,Lettuce,10,3,12,111
192,Lettuce,11,3,12,111
193,Lettuce,0,4,12,111
194,Lettuce,1,4,12,111
195,Lettuce,2,4,12,111
196,Lettuce,3,4,12,111
197,Lettuce,4,4,12,111
198,Lettuce,5,4,12,111
199,Lettuce,6,4,12,111
200,Lettuce,7,4,12,111
201,Lettuce,8,4,12,111
202,Lettuce,9,4,12,111
203,Lettuce,10,4,12,111
204,Lettuce,11,4,12,111
205,Lettuce,0,5,12,111
206,Lettuce,1,5,12,111
207,Lettuce,2,5,12,111
208,Lettuce,3,5,12,111
209,Lettuce,4,5,12,111
210,Lettuce,5,5,12,111
211,Lettuce,6,5,12,111
212,Lettuce,7,5,12,111
213,Lettuce,8,5,12,111
214,Lettuce,9,5,12,111
215,Lettuce,10,5,12,111
216,Lettuce,11,5,12,111
217,Lettuce,0,0,12,110
218,Lettuce,1,0,12,110
219,Lettuce,2,0,12,110
220,Lettuce,3,0,12,110
221,Lettuce,4,0,12,110
222,Lettuce,5,0,12,110
223,Lettuce,6,0,12,110
224,Lettuce,7,0,12,110
225,Lettuce,8,0,12,110
226,Lettuce,9,0,12,110
227,Lettuce,10,0,12,110
228,Lettuce,11,0,12,110
229,Lettuce,0,1,12,110
230,Lettuce,1,1,12,110
231,Lettuce,2,1,12,110
232,Lettuce,3,1,12,110
233,Lettuce,4,1,12,110
234,Lettuce,5,1,12,110
235,Lettuce,6,1,12,110
236,Lettuce,7,1,12,110
237,Lettuce,8,1,12,110
238,Lettuce,9,1,12,110
239,Lettuce,10,1,12,110
240,Lettuce,11,1,12,110
241,Lettuce,0,2,12,110
242,Lettuce,1,2,12,110
243,Lettuce,2,2,12,110
244,Lettuce,3,2,12,110
245,Lettuce,4,2,12,110
246,Lettuce,5,2,12,110
247,Lettuce,6,2,12,110
248,Lettuce,7,2,12,110
249,Lettuce,8,2,12,110
250,Lettuce,9,2,12,110
251,Lettuce,10,2,12,110
252,Lettuce,11,2,12,110
253,Lettuce,0,3,12,110
254,Lettuce,1,3,12,110
255,Lettuce,2,3,12,110
256,Lettuce,3,3,12,110
257,Lettuce,4,3,12,110
258,Lettuce,5,3,12,110
259,Lettuce,6,3,12,110
260,Lettuce,7,3,12,110
261,Lettuce,8,3,12,110
262,Lettuce,9,3,12,110
263,Lettuce,10,3,12,110
264,Lettuce,11,3,12,110
265,Lettuce,0,4,12,110
266,Lettuce,1,4,12,110
267,Lettuce,2,4,12,110
268,Lettuce,3,4,12,110
269,Lettuce,4,4,12,110
270,Lettuce,5,4,12,110
271,Lettuce,6,4,12,110
272,Lettuce,7,4,12,110
273,Lettuce,8,4,12,110
274,Lettuce,9,4,12,110
275,Lettuce,10,4,12,110
276,Lettuce,11,4,12,110
277,Lettuce,0,5,12,110
278,Lettuce,1,5,12,110
279,Lettuce,2,5,12,110
280,Lettuce,3,5,12,110
281,Lettuce,4,5,12,110
282,Lettuce,5,5,12,110
283,Lettuce,6,5,12,110
284,Lettuce,7,5,12,110
285,Lettuce,8,5,12,110
286,Lettuce,9,5,12,110
287,Lettuce,10,5,12,110
288,Lettuce,11,5,12,110
289,Lettuce,0,0,12,109
290,Lettuce,1,0,12,109
291,Lettuce,2,0,12,109
292,Lettuce,3,0,12,109
293,Lettuce,4,0,12,109
294,Lettuce,5,0,12,109
295,Lettuce,6,0,12,109
296,Lettuce,7,0,12,109
297,Lettuce,8,0,12,109
298,Lettuce,9,0,12,109
299,Lettuce,10,0,12,109
300,Lettuce,11,0,12,109
301,Lettuce,0,1,12,109
302,Lettuce,1,1,12,109
303,Lettuce,2,1,12,109
304,Lettuce,3,1,12,109
305,Lettuce,4,1,12,109
306,Lettuce,5,1,12,109
307,Lettuce,6,1,12,109
308,Lettuce,7,1,12,109
309,Lettuce,8,1,12,109
310,Lettuce,9,1,12,109
311,Lettuce,10,1,12,109
312,Lettuce,11,1,12,109
313,Lettuce,0,2,12,109
314,Lettuce,1,2,12,109
315,Lettuce,2,2,12,109
316,Lettuce,3,2,12,109
317,Lettuce,4,2,12,109
318,Lettuce,5,2,12,109
319,Lettuce,6,2,12,109
320,Lettuce,7,2,12,109
321,Lettuce,8,2,12,109
322,Lettuce,9,2,12,109
323,Lettuce,10,2,12,109
324,Lettuce,11,2,12,109
325,Lettuce,0,3,12,109
326,Lettuce,1,3,12,109
327,Lettuce,2,3,12,109
328,Lettuce,3,3,12,109
329,Lettuce,4,3,12,109
330,Lettuce,5,3,12,109
331,Lettuce,6,3,12,109
332,Lettuce,7,3,12,109
333,Lettuce,8,3,12,109
334,Lettuce,9,3,12,109
335,Lettuce,10,3,12,109
336,Lettuce,11,3,12,109
337,Lettuce,0,4,12,109
338,Lettuce,1,4,12,109
339,Lettuce,2,4,12,109
340,Lettuce,3,4,12,109
341,Lettuce,4,4,12,109
342,Lettuce,5,4,12,109
343,Lettuce,6,4,12,109
344,Lettuce,7,4,12,109
345,Lettuce,8,4,12,109
346,Lettuce,9,4,12,109
347,Lettuce,10,4,12,109
348,Lettuce,11,4,12,109
349,Lettuce,0,5,12,109
350,Lettuce,1,5,12,109
351,Lettuce,2,5,12,109
352,Lettuce,3,5,12,109
353,Lettuce,4,5,12,109
354,Lettuce,5,5,12,109
355,Lettuce,6,5,12,109
356,Lettuce,7,5,12,109
357,Lettuce,8,5,12,109
358,Lettuce,9,5,12,109
359,Lettuce,10,5,12,109
360,Lettuce,11,5,12,109
361,Lettuce,0,0,12,108
362,Lettuce,1,0,12,108
363,Lettuce,2,0,12,108
364,Lettuce,3,0,12,108
365,Lettuce,4,0,12,108
366,Lettuce,5,0,12,108
367,Lettuce,6,0,12,108
368,Lettuce,7,0,12,108
369,Lettuce,8,0,12,108
370,Lettuce,9,0,12,108
371,Lettuce,10,0,12,108
372,Lettuce,11,0,12,108
373,Lettuce,0,1,12,108
374,Lettuce,1,1,12,108
375,Lettuce,2,1,12,108
376,Lettuce,3,1,12,108
377,Lettuce,4,1,12,108
378,Lettuce,5,1,12,108
379,Lettuce,6,1,12,108
380,Lettuce,7,1,12,108
381,Lettuce,8,1,12,108
382,Lettuce,9,1,12,108
383,Lettuce,10,1,12,108
384,Lettuce,11,1,12,108
385,Lettuce,0,2,12,108
386,Lettuce,1,2,12,108
387,Lettuce,2,2,12,108
388,Lettuce,3,2,12,108
389,Lettuce,4,2,12,108
390,Lettuce,5,2,12,108
391,Lettuce,6,2,12,108
392,Lettuce,7,2,12,108
393,Lettuce,8,2,12,108
394,Lettuce,9,2,12,108
395,Lettuce,10,2,12,108
396,Lettuce,11,2,12,108
397,Lettuce,0,3,12,108
398,Lettuce,1,3,12,108
399,Lettuce,2,3,12,108
400,Lettuce,3,3,12,108
401,Lettuce,4,3,12,108
402,Lettuce,5,3,12,108
403,Lettuce,6,3,12,108
404,Lettuce,7,3,12,108
405,Lettuce,8,3,12,108
406,Lettuce,9,3,12,108
407,Lettuce,10,3,12,108
408,Lettuce,11,3,12,108
409,Lettuce,0,4,12,108
410,Lettuce,1,4,12,108
411,Lettuce,2,4,12,108
412,Lettuce,3,4,12,108
413,Lettuce,4,4,12,108
414,Lettuce,5,4,12,108
415,Lettuce,6,4,12,108
416,Lettuce,7,4,12,108
417,Lettuce,8,4,12,108
418,Lettuce,9,4,12,108
419,Lettuce,10,4,12,108
420,Lettuce,11,4,12,108
421,Lettuce,0,5,12,108
422,Lettuce,1,5,12,108
423,Lettuce,2,5,12,108
424,Lettuce,3,5,12,108
425,Lettuce,4,5,12,108
426,Lettuce,5,5,12,108
427,Lettuce,6,5,12,108
428,Lettuce,7,5,12,108
429,Lettuce,8,5,12,108
430,Lettuce,9,5,12,108
431,Lettuce,10,5,12,108
432,Lettuce,11,5,12,108
433,Lettuce,0,0,12,107
434,Lettuce,1,0,12,107
435,Lettuce,2,0,12,107
436,Lettuce,3,0,12,107
437,Lettuce,4,0,12,107
438,Lettuce,5,0,12,107
439,Lettuce,6,0,12,107
440,Lettuce,7,0,12,107
441,Lettuce,8,0,12,107
442,Lettuce,9,0,12,107
443,Lettuce,10,0,12,107
444,Lettuce,11,0,12,107
445,Lettuce,0,1,12,107
446,Lettuce,1,1,12,107
447,Lettuce,2,1,12,107
448,Lettuce,3,1,12,107
449,Lettuce,4,1,12,107
450,Lettuce,5,1,12,107
451,Lettuce,6,1,12,107
452,Lettuce,7,1,12,107
453,Lettuce,8,1,12,107
454,Lettuce,9,1,12,107
455,Lettuce,10,1,12,107
456,Lettuce,11,1,12,107
457,Lettuce,0,2,12,107
458,Lettuce,1,2,12,107
459,Lettuce,2,2,12,107
460,Lettuce,3,2,12,107
461,Lettuce,4,2,12,107
462,Lettuce,5,2,12,107
463,Lettuce,6,2,12,107
464,Lettuce,7,2,12,107
465,Lettuce,8,2,12,107
466,Lettuce,9,2,12,107
467,Lettuce,10,2,12,107
468,Lettuce,11,2,12,107
469,Lettuce,0,3,12,107
470,Lettuce,1,3,12,107
471,Lettuce,2,3,12,107
472,Lettuce,3,3,12,107
473,Lettuce,4,3,12,107
474,Lettuce,5,3,12,107
475,Lettuce,6,3,12,107
476,Lettuce,7,3,12,107
477,Lettuce,8,3,12,107
478,Lettuce,9,3,12,107
479,Lettuce,10,3,12,107
480,Lettuce,11,3,12,107
481,Lettuce,0,4,12,107
482,Lettuce,1,4,12,107
483,Lettuce,2,4,12,107
484,Lettuce,3,4,12,107
485,Lettuce,4,4,12,107
486,Lettuce,5,4,12,107
487,Lettuce,6,4,12,107
488,Lettuce,7,4,12,107
489,Lettuce,8,4,12,107
490,Lettuce,9,4,12,107
491,Lettuce,10,4,12,107
492,Lettuce,11,4,12,107
493,Lettuce,0,5,12,107
494,Lettuce,1,5,12,107
495,Lettuce,2,5,12,107
496,Lettuce,3,5,12,107
497,Lettuce,4,5,12,107
498,Lettuce,5,5,12,107
499,Lettuce,6,5,12,107
500,Lettuce,7,5,12,107
501,Lettuce,8,5,12,107
502,Lettuce,9,5,12,107
503,Lettuce,10,5,12,107
504,Lettuce,11,5,12,107
505,Lettuce,0,0,12,106
506,Lettuce,1,0,12,106
507,Lettuce,2,0,12,106
508,Lettuce,3,0,12,106
509,Lettuce,4,0,12,106
510,Lettuce,5,0,12,106
511,Lettuce,6,0,12,106
512,Lettuce,7,0,12,106
513,Lettuce,8,0,12,106
514,Lettuce,9,0,12,106
515,Lettuce,10,0,12,106
516,Lettuce,11,0,12,106
517,Lettuce,0,1,12,106
518,Lettuce,1,1,12,106
519,Lettuce,2,1,12,106
520,Lettuce,3,1,12,106
521,Lettuce,4,1,12,106
522,Lettuce,5,1,12,106
523,Lettuce,6,1,12,106
524,Lettuce,7,1,12,106
525,Lettuce,8,1,12,106
526,Lettuce,9,1,12,106
527,Lettuce,10,1,12,106
528,Lettuce,11,1,12,106
529,Lettuce,0,2,12,106
530,Lettuce,1,2,12,106
531,Lettuce,2,2,12,106
532,Lettuce,3,2,12,106
533,Lettuce,4,2,12,106
534,Lettuce,5,2,12,106
535,Lettuce,6,2,12,106
536,Lettuce,7,2,12,106
537,Lettuce,8,2,12,106
538,Lettuce,9,2,12,106
539,Lettuce,10,2,12,106
540,Lettuce,11,2,12,106
541,Lettuce,0,3,12,106
542,Lettuce,1,3,12,106
543,Lettuce,2,3,12,106
544,Lettuce,3,3,12,106
545,Lettuce,4,3,12,106
546,Lettuce,5,3,12,106
547,Lettuce,6,3,12,106
548,Lettuce,7,3,12,106
549,Lettuce,8,3,12,106
550,Lettuce,9,3,12,106
551,Lettuce,10,3,12,106
552,Lettuce,11,3,12,106
553,Lettuce,0,4,12,106
554,Lettuce,1,4,12,106
555,Lettuce,2,4,12,106
556,Lettuce,3,4,12,106
557,Lettuce,4,4,12,106
558,Lettuce,5,4,12,106
559,Lettuce,6,4,12,106
560,Lettuce,7,4,12,106
561,Lettuce,8,4,12,106
562,Lettuce,9,4,12,106
563,Lettuce,10,4,12,106
564,Lettuce,11,4,12,106
565,Lettuce,0,5,12,106
566,Lettuce,1,5,12,106
567,Lettuce,2,5,12,106
568,Lettuce,3,5,12,106
569,Lettuce,4,5,12,106
570,Lettuce,5,5,12,106
571,Lettuce,6,5,12,106
572,Lettuce,7,5,12,106
573,Lettuce,8,5,12,106
574,Lettuce,9,5,12,106
575,Lettuce,10,5,12,106
576,Lettuce,11,5,12,106
577,Lettuce,0,0,12,105
578,Lettuce,1,0,12,105
579,Lettuce,2,0,12,105
580,Lettuce,3,0,12,105
581,Lettuce,4,0,12,105
582,Lettuce,5,0,12,105
583,Lettuce,6,0,12,105
584,Lettuce,7,0,12,105
585,Lettuce,8,0,12,105
586,Lettuce,9,0,12,105
587,Lettuce,10,0,12,105
588,Lettuce,11,0,12,105
589,Lettuce,0,1,12,105
590,Lettuce,1,1,12,105
591,Lettuce,2,1,12,105
592,Lettuce,3,1,12,105
593,Lettuce,4,1,12,105
594,Lettuce,5,1,12,105
595,Lettuce,6,1,12,105
596,Lettuce,7,1,12,105
597,Lettuce,8,1,12,105
598,Lettuce,9,1,12,105
599,Lettuce,10,1,12,105
600,Lettuce,11,1,12,105
601,Lettuce,0,2,12,105
602,Lettuce,1,2,12,105
603,Lettuce,2,2,12,105
604,Lettuce,3,2,12,105
605,Lettuce,4,2,12,105
606,Lettuce,5,2,12,105
607,Lettuce,6,2,12,105
608,Lettuce,7,2,12,105
609,Lettuce,8,2,12,105
610,Lettuce,9,2,12,105
611,Lettuce,10,2,12,105
612,Lettuce,11,2,12,105
613,Lettuce,0,3,12,105
614,Lettuce,1,3,12,105
615,Lettuce,2,3,12,105
616,Lettuce,3,3,12,105
617,Lettuce,4,3,12,105
618,Lettuce,5,3,12,105
619,Lettuce,6,3,12,105
620,Lettuce,7,3,12,105
621,Lettuce,8,3,12,105
622,Lettuce,9,3,12,105
623,Lettuce,10,3,12,105
624,Lettuce,11,3,12,105
625,Lettuce,0,4,12,105
626,Lettuce,1,4,12,105
627,Lettuce,2,4,12,105
628,Lettuce,3,4,12,105
629,Lettuce,4,4,12,105
630,Lettuce,5,4,12,105
631,Lettuce,6,4,12,105
632,Lettuce,7,4,12,105
633,Lettuce,8,4,12,105
634,Lettuce,9,4,12,105
635,Lettuce,10,4,12,105
636,Lettuce,11,4,12,105
637,Lettuce,0,5,12,105
638,Lettuce,1,5,12,105
639,Lettuce,2,5,12,105
640,Lettuce,3,5,12,105
641,Lettuce,4,5,12,105
642,Lettuce,5,5,12,105
643,Lettuce,6,5,12,105
644,Lettuce,7,5,12,105
645,Lettuce,8,5,12,105
646,Lettuce,9,5,12,105
647,Lettuce,10,5,12,105
648,Lettuce,11,5,12,105
649,Lettuce,0,0,12,104
650,Lettuce,1,0,12,104
651,Lettuce,2,0,12,104
652,Lettuce,3,0,12,104
653,Lettuce,4,0,12,104
654,Lettuce,5,0,12,104
655,Lettuce,6,0,12,104
656,Lettuce,7,0,12,104
657,Lettuce,8,0,12,104
658,Lettuce,9,0,12,104
659,Lettuce,10,0,12,104
660,Lettuce,11,0,12,104
661,Lettuce,0,1,12,104
662,Lettuce,1,1,12,104
663,Lettuce,2,1,12,104
664,Lettuce,3,1,12,104
665,Lettuce,4,1,12,104
666,Lettuce,5,1,12,104
667,Lettuce,6,1,12,104
668,Lettuce,7,1,12,104
669,Lettuce,8,1,12,104
670,Lettuce,9,1,12,104
671,Lettuce,10,1,12,104
672,Lettuce,11,1,12,104
673,Lettuce,0,2,12,104
674,Lettuce,1,2,12,104
675,Lettuce,2,2,12,104
676,Lettuce,3,2,12,104
677,Lettuce,4,2,12,104
678,Lettuce,5,2,12,104
679,Lettuce,6,2,12,104
680,Lettuce,7,2,12,104
681,Lettuce,8,2,12,104
682,Lettuce,9,2,12,104
683,Lettuce,10,2,12,104
684,Lettuce,11,2,12,104
685,Lettuce,0,3,12,104
686,Lettuce,1,3,12,104
687,Lettuce,2,3,12,104
688,Lettuce,3,3,12,104
689,Lettuce,4,3,12,104
690,Lettuce,5,3,12,104
691,Lettuce,6,3,12,104
692,Lettuce,7,3,12,104
693,Lettuce,8,3,12,104
694,Lettuce,9,3,12,104
695,Lettuce,10,3,12,104
696,Lettuce,11,3,12,104
697,Lettuce,0,4,12,104
698,Lettuce,1,4,12,104
699,Lettuce,2,4,12,104
700,Lettuce,3,4,12,104
701,Lettuce,4,4,12,104
702,Lettuce,5,4,12,104
703,Lettuce,6,4,12,104
704,Lettuce,7,4,12,104
705,Lettuce,8,4,12,104
706,Lettuce,9,4,12,104
707,Lettuce,10,4,12,104
708,Lettuce,11,4,12,104
709,Lettuce,0,5,12,104
710,Lettuce,1,5,12,104
711,Lettuce,2,5,12,104
712,Lettuce,3,5,12,104
713,Lettuce,4,5,12,104
714,Lettuce,5,5,12,104
715,Lettuce,6,5,12,104
716,Lettuce,7,5,12,104
717,Lettuce,8,5,12,104
718,Lettuce,9,5,12,104
719,Lettuce,10,5,12,104
720,Lettuce,11,5,12,104
721,Lettuce,0,0,12,103
722,Lettuce,1,0,12,103
723,Lettuce,2,0,12,103
724,Lettuce,3,0,12,103
725,Lettuce,4,0,12,103
726,Lettuce,5,0,12,103
727,Lettuce,6,0,12,103
728,Lettuce,7,0,12,103
729,Lettuce,8,0,12,103
730,Lettuce,9,0,12,103
731,Lettuce,10,0,12,103
732,Lettuce,11,0,12,103
733,Lettuce,0,1,12,103
734,Lettuce,1,1,12,103
735,Lettuce,2,1,12,103
736,Lettuce,3,1,12,103
737,Lettuce,4,1,12,103
738,Lettuce,5,1,12,103
739,Lettuce,6,1,12,103
740,Lettuce,7,1,12,103
741,Lettuce,8,1,12,103
742,Lettuce,9,1,12,103
743,Lettuce,10,1,12,103
744,Lettuce,11,1,12,103
745,Lettuce,0,2,12,103
746,Lettuce,1,2,12,103
747,Lettuce,2,2,12,103
748,Lettuce,3,2,12,103
749,Lettuce,4,2,12,103
750,Lettuce,5,2,12,103
751,Lettuce,6,2,12,103
752,Lettuce,7,2,12,103
753,Lettuce,8,2,12,103
754,Lettuce,9,2,12,103
755,Lettuce,10,2,12,103
756,Lettuce,11,2,12,103
757,Lettuce,0,3,12,103
758,Lettuce,1,3,12,103
759,Lettuce,2,3,12,103
760,Lettuce,3,3,12,103
761,Lettuce,4,3,12,103
762,Lettuce,5,3,12,103
763,Lettuce,6,3,12,103
764,Lettuce,7,3,12,103
765,Lettuce,8,3,12,103
766,Lettuce,9,3,12,103
767,Lettuce,10,3,12,103
768,Lettuce,11,3,12,103
769,Lettuce,0,4,12,103
770,Lettuce,1,4,12,103
771,Lettuce,2,4,12,103
772,Lettuce,3,4,12,103
773,Lettuce,4,4,12,103
774,Lettuce,5,4,12,103
775,Lettuce,6,4,12,103
776,Lettuce,7,4,12,103
777,Lettuce,8,4,12,103
778,Lettuce,9,4,12,103
779,Lettuce,10,4,12,103
780,Lettuce,11,4,12,103
781,Lettuce,0,5,12,103
782,Lettuce,1,5,12,103
783,Lettuce,2,5,12,103
784,Lettuce,3,5,12,103
785,Lettuce,4,5,12,103
786,Lettuce,5,5,12,103
787,Lettuce,6,5,12,103
788,Lettuce,7,5,12,103
789,Lettuce,8,5,12,103
790,Lettuce,9,5,12,103
791,Lettuce,10,5,12,103
792,Lettuce,11,5,12,103
793,Lettuce,0,0,12,102
794,Lettuce,1,0,12,102
795,Lettuce,2,0,12,102
796,Lettuce,3,0,12,102
797,Lettuce,4,0,12,102
798,Lettuce,5,0,12,102
799,Lettuce,6,0,12,102
800,Lettuce,7,0,12,102
801,Lettuce,8,0,12,102
802,Lettuce,9,0,12,102
803,Lettuce,10,0,12,102
804,Lettuce,11,0,12,102
805,Lettuce,0,1,12,102
806,Lettuce,1,1,12,102
807,Lettuce,2,1,12,102
808,Lettuce,3,1,12,102
809,Lettuce,4,1,12,102
810,Lettuce,5,1,12,102
811,Lettuce,6,1,12,102
812,Lettuce,7,1,12,102
813,Lettuce,8,1,12,102
814,Lettuce,9,1,12,102
815,Lettuce,10,1,12,102
816,Lettuce,11,1,12,102
817,Lettuce,0,2,12,102
818,Lettuce,1,2,12,102
819,Lettuce,2,2,12,102
820,Lettuce,3,2,12,102
821,Lettuce,4,2,12,102
822,Lettuce,5,2,12,102
823,Lettuce,6,2,12,102
824,Lettuce,7,2,12,102
825,Lettuce,8,2,12,102
826,Lettuce,9,2,12,102
827,Lettuce,10,2,12,102
828,Lettuce,11,2,12,102
829,Lettuce,0,3,12,102
830,Lettuce,1,3,12,102
831,Lettuce,2,3,12,102
832,Lettuce,3,3,12,102
833,Lettuce,4,3,12,102
834,Lettuce,5,3,12,102
835,Lettuce,6,3,12,102
836,Lettuce,7,3,12,102
837,Lettuce,8,3,12,102
838,Lettuce,9,3,12,102
839,Lettuce,10,3,12,102
840,Lettuce,11,3,12,102
841,Lettuce,0,4,12,102
842,Lettuce,1,4,12,102
843,Lettuce,2,4,12,102
844,Lettuce,3,4,12,102
845,Lettuce,4,4,12,102
846,Lettuce,5,4,12,102
847,Lettuce,6,4,12,102
848,Lettuce,7,4,12,102
849,Lettuce,8,4,12,102
850,Lettuce,9,4,12,102
851,Lettuce,10,4,12,102
852,Lettuce,11,4,12,102
853,Lettuce,0,5,12,102
854,Lettuce,1,5,12,102
855,Lettuce,2,5,12,102
856,Lettuce,3,5,12,102
857,Lettuce,4,5,12,102
858,Lettuce,5,5,12,102
859,Lettuce,6,5,12,102
860,Lettuce,7,5,12,102
861,Lettuce,8,5,12,102
862,Lettuce,9,5,12,102
863,Lettuce,10,5,12,102
864,Lettuce,11,5,12,102
865,Lettuce,0,0,12,101
866,Lettuce,1,0,12,101
867,Lettuce,2,0,12,101
868,Lettuce,3,0,12,101
869,Lettuce,4,0,12,101
870,Lettuce,5,0,12,101
